value,tag,default,bolddesk_id
CALL - WFG,call_-_wfg,FALSE,44
CALL - Georgian College ,call_-_georgian_college_,FALSE,43
CALL - TICO Moodle,call_-_tico_moodle,FALSE,45
CALL - TICO,call_-_tico,FALSE,46
CALL - Oliver's HLLQP,call_-_oliver_s_hllqp,FALSE,47
CALL - ALTIG,call_-_altig,FALSE,48
CALL - Primerica,call_-_primerica,FALSE,49
CALL - Experior,call_-_experior,FALSE,50
CALL - BMO,call_-_bmo,FALSE,51
CALL - Sunlife,call_-_sunlife,FALSE,52
CALL - Combined,call_-_combined,FALSE,53
CALL - Max Financial,call_-_max_financial,FALSE,54
CALL - Oliver's Retail,call_-_oliver_s_retail,FALSE,55
CALL - WFG Historic,call_-_wfg_historic,FALSE,56
CALL - SafebyOliver,call_-_safeselling/safebyoliver,FALSE,57
CALL - THIA,call_-_thia,FALSE,58
CALL - Real Trading,call_-_real_trading,FALSE,59
CALL - 4Pillars,call_-_4pillars,FALSE,60
CALL - IPC,call_-_ipc,FALSE,61
WFG,wfg,FALSE,62
Georgian College,georgian_college,FALSE,63
TICO Moodle,tico_moodle,FALSE,64
TICO,tico,FALSE,65
Oliver's HLLQP,oliver_solutions,FALSE,66
ALTIG,altig,FALSE,67
Primerica,primerica,FALSE,68
Experior,experior,FALSE,69
Sunlife,sunlife,FALSE,70
BMO,bmo,FALSE,71
Combined,combined,FALSE,72
Max Financial,max_financial,FALSE,73
Oliver's Retail,oliver_s_retail,FALSE,74
WFG Historic,wfg_historic,FALSE,75
THIA,thia,FALSE,76
SafebyOliver,safe_selling,FALSE,77
Real Trading,real_trading,FALSE,78
4Pillars,4pillars,FALSE,79
IPC,ipc,FALSE,80
Oliver's - Internal,oliver_s_-_internal,FALSE,81
AMF,amf,FALSE,82
Unknown,unknown,FALSE,83
Spam/Junk,spam,FALSE,84
