value,tag,default,bolddesk_id
Customer Support (Question & Answer),customer_support,false,22
Technical Support (Account updates),technical_support,false,23
Exam Support,exam_support,false,24
IT Requests,it_request,false,25
Refunds,refunds,false,26
Reminders,reminders,false,27
Nullifications,nullifications,false,28
Suspended Students,banned_students,false,29
Content,content,false,30
"Special Accommodations ",special_accommodations_,false,31
Mutual Funds Requests,mutual_funds_results,false,32
Voicemails,voicemails,false,3
"Payment Receipts ",payment_receipts_,false,34
Book Orders,book_orders,false,35
Reports,reports,false,36
GC - Questions redirected to GC,gc_-_questions_redirected_to_gc,false,37
GC - Requests from GC,gc_-_requests_from_gc,false,38
"GC - Non-compliant ",gc_-_non-compliant_,false,39
TICO - Certificates prior to Jan 2019,tico_-_certificates_prior_to_jan_2019,false,40
TICO - Questions redirected to TICO,tico_-_questions_redirected_to_tico,false,41
SpeedPass Refund Escalation,speedpass_refund_escalation,false,42
